Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,VA,Virginia,Fairfax,51059,51059491102,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,22.4,,,20.0,25.1,"3,422","2,685",POINT (-77.4679399 38.8563248),51059491102,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2023,VA,Virginia,Fairfax,51059,51059422201,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,8.3,,,6.7,10.1,"4,071","3,151",POINT (-77.2345178 38.7118565),51059422201,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2023,VA,Virginia,Fairfax,51059,51059482603,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,11.0,,,9.4,12.9,"3,501","2,604",POINT (-77.3772411 38.8788529),51059482603,HLTHSTAT,GHLTH,CrdPrv,General Health
2023,VA,Virginia,Fairfax,51059,51059440503,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,2.2,,,2.0,2.5,"6,817","4,791",POINT (-77.307044 38.830907),51059440503,DISABLT,HEARING,CrdPrv,Hearing Disability
2023,VA,Virginia,Fairfax,51059,51059460300,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,78.6,,,75.4,81.6,"2,896","2,110",POINT (-77.2756809 38.9228761),51059460300,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2023,VA,Virginia,Fairfax,51059,51059482301,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,3.5,,,2.9,4.2,"5,387","4,523",POINT (-77.3429557 38.9425862),51059482301,HLTHOUT,COPD,CrdPrv,COPD
2023,VA,Virginia,Fairfax,51059,51059480903,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,4.0,,,3.5,4.6,"4,177","3,186",POINT (-77.3936942 38.9585855),51059480903,DISABLT,HEARING,CrdPrv,Hearing Disability
2023,VA,Virginia,Fairfax,51059,51059492100,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,16.6,,,14.0,19.4,"6,592","5,151",POINT (-77.3310034 38.7604956),51059492100,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,VA,Virginia,Fairfax,51059,51059491705,BRFSS,Disability,Any disability among adults,%,Crude prevalence,18.6,,,15.9,21.5,"3,341","2,501",POINT (-77.3902011 38.847358),51059491705,DISABLT,DISABILITY,CrdPrv,Any Disability
2023,VA,Virginia,Fairfax,51059,51059491703,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,28.9,,,26.1,32.0,"5,035","4,231",POINT (-77.3569829 38.8547254),51059491703,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2023,VA,Virginia,Fairfax,51059,51059471100,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.8,,,7.7,10.2,"7,030","5,276",POINT (-77.1975824 38.910538),51059471100,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,VA,Virginia,Fairfax,51059,51059461801,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,34.4,,,31.2,37.8,"1,385","1,068",POINT (-77.2915199 38.8740065),51059461801,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2023,VA,Virginia,Fauquier,51061,51061930707,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,3.3,,,3.0,3.7,"3,584","2,665",POINT (-77.8291296 38.5865018),51061930707,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2023,VA,Virginia,Fairfax,51059,51059451501,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.7,,,8.6,10.9,"5,868","4,497",POINT (-77.1443728 38.8642756),51059451501,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2023,VA,Virginia,Fairfax,51059,51059482303,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,77.1,,,74.0,80.0,"3,617","3,026",POINT (-77.3361848 38.9337358),51059482303,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2023,VA,Virginia,Fairfax,51059,51059450400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.9,,,6.1,9.9,"2,726","2,215",POINT (-77.168111 38.8613778),51059450400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2023,VA,Virginia,Fairfax,51059,51059480205,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,6.5,,,5.1,8.2,"3,268","2,871",POINT (-77.2240394 38.9209595),51059480205,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2023,VA,Virginia,Fairfax,51059,51059491701,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,6.0,,,5.4,6.5,"4,127","3,485",POINT (-77.3794583 38.8611759),51059491701,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
